publication_number,application_number,country_code,kind_code,family_id,publication_date,year,title,abstract,assignee,organization,inventors,cpc_codes,url,source_type,bigquery_relevance_score
CN-117535810-A,CN-202311664451-A,CN,A,89791799,20240209,2024,Dry-jet wet-spinning large-tow polyacrylonitrile-based precursor filament synthesizing device and preparation method,"The invention relates to the technical field of carbon fiber precursor production, in particular to a dry-jet wet-spinning large-tow polyacrylonitrile-based precursor filament synthesizing device and a preparation method thereof. The device comprises a movable yarn combining wheel combination device, a yarn expanding wheel, a fixed yarn combining wheel and a yarn guiding roller group. Two strands of filaments are respectively vertically arranged at two movable filament combining wheels at two sides of the filament combining device, are spread at the two filament spreading wheels through filament combining angle adjustment to form the same widening width, and then four strands of filaments are combined into a large strand of filament at the two fixed filament combining wheels to form a cross point. And folding and interlacing the yarn path through two yarn guide rollers of the yarn guide roller group I, forming a interlacing point at the two fixed yarn combining wheels again after the yarn path passes through the yarn path, folding the yarn path again through the yarn guide roller group II, and obtaining the large yarn bundle precursor after increasing the interlacing degree. The invention realizes the spinning of the polyacrylonitrile-based precursor of the large tow by dry-jet wet spinning, and the obtained large tow precursor has good interlacing property and is not easy to disperse in the subsequent carbonization process.",中复神鹰碳纤维股份有限公司,ZHONGFU SHENYING CARBON FIBER CO LTD,LIU DONG; PAN YUE; ZHANG JINYUAN; MENG CHENCHEN; GAO BO,D01D7/00; D01D10/0454,https://patents.google.com/patent/CN117535810A/en,patent,19
CN-117552188-A,CN-202410003065-A,CN,A,89818761,20240213,2024,Heavy slag oil-based carbon fiber membrane and preparation method and application thereof,"The invention belongs to the field of carbon fiber preparation and super capacitors, and provides a heavy residue oil-based carbon fiber membrane and a preparation method and application thereof, wherein the heavy residue oil-based carbon fiber membrane uses polyacrylonitrile as a main raw material and is easy to spin a carbon source, polymethyl methacrylate is used as a phase change pore-forming agent, polyvinylpyrrolidone is used as a spinning solution homogenizing stabilizer, and is mixed with a solvent to prepare a spinning solution, and the spinning solution is formed into a fiber membrane through electrostatic spinning, so that the fiber membrane is moderately crosslinked in the subsequent aging and pre-oxidation processes through spray pre-crosslinking, the carbonization yield is improved, and the capacitance performance and the mechanical performance of the porous carbon fiber membrane are improved; finally through pre-oxidation, carbonization and CO  2  And (5) activating to obtain the carbon fiber membrane. The obtained carbon fiber membrane has the characteristics of high carbon forming rate, large specific surface area, rich pore structure, excellent capacitance performance and no binder self-support when used as an electrode, and realizes the high added value utilization of heavy residual oil.",西安科技大学,UNIV XIAN SCI & TECHNOLOGY,CAI JIANGTAO; LIU YI; ZHANG YATING; QIU JIESHAN; LAN YUJIN; ZHAO SHIYONG; JANG EUN-SEOK; ZHU YOUYU,D04H1/728; D06C7/04; D04H1/43; D04H1/43916; D04H1/43825; D01F8/08; D01F8/10; D06M11/17; H01G11/34; H01G11/86,https://patents.google.com/patent/CN117552188A/en,patent,19
CN-117552188-B,CN-202410003065-A,CN,B,89818761,20240409,2024,Heavy slag oil-based carbon fiber membrane and preparation method and application thereof,"The invention belongs to the field of carbon fiber preparation and super capacitors, and provides a heavy residue oil-based carbon fiber membrane, a preparation method and application thereof, wherein the heavy residue oil-based carbon fiber membrane uses heavy residue oil as a main raw material, polyacrylonitrile as a nitrogen source and easy-spinning carbon source, polymethyl methacrylate as a phase change pore-forming agent, polyvinylpyrrolidone as a spinning solution homogenizing stabilizer, and is mixed with a solvent to prepare a spinning solution, and the spinning solution is formed through electrostatic spinningThe fiber membrane is crosslinked in a spraying manner, so that the fiber membrane is crosslinked moderately in the subsequent aging and pre-oxidation processes, the carbonization yield is improved, a communicated carbon fiber conductive path can be obtained, and the capacitance and mechanical properties of the porous carbon fiber membrane are improved; finally through pre-oxidation, carbonization and CO  2  And (5) activating to obtain the carbon fiber membrane. The obtained carbon fiber membrane has the characteristics of high carbon forming rate, large specific surface area, rich pore structure, excellent capacitance performance and no binder self-support when used as an electrode, and realizes the high added value utilization of heavy residual oil.",西安科技大学,,,D04H1/728; D06C7/04; D04H1/43; D04H1/43916; D04H1/43825; D01F8/08; D01F8/10; D06M11/17; H01G11/34; H01G11/86,https://patents.google.com/patent/CN117552188B/en,patent,19
CN-117622793-A,CN-202311772175-A,CN,A,90035670,20240301,2024,Raw filament transportation system and method in polyacrylonitrile-based carbon fiber production,"The invention discloses a precursor transporting system in polyacrylonitrile-based carbon fiber production, which comprises circulating conveyor line track equipment arranged between a precursor workshop winding section and a carbonization workshop stereoscopic warehouse; the circulating conveyor line track equipment comprises a primary wire transferring and conveying device, a primary wire loading device, a loading device and a unloading device, wherein the primary wire transferring and conveying device comprises an overhead track to form a circulating conveyor line connected end to end; the primary yarn carrying device comprises a roller arranged on the overhead rail, a sliding frame connected with the roller, and a carrying platform arranged at the lower end of the sliding frame; the loading device comprises a stacker arranged at a winding section of the precursor workshop; the unloading device comprises a stacker arranged at the unloading point of the stereoscopic warehouse of the carbonization workshop. The automatic continuous conveying mode is used for conveying the PVC winding drums from the precursor workshop to the carbonization workshop three-dimensional warehouse, and after the three-dimensional warehouse is taken out of the warehouse, the empty PVC winding drums are returned to the precursor production workshop for continuous use, so that the working efficiency is improved, and the manual transfer cost and loss are reduced.",中复神鹰碳纤维西宁有限公司,ZHONGFU SHENYING CARBON FIBER XINING CO LTD,SUN JIAGUI; ZHANG SHIFENG; ZHENG YOUQUAN; LI ZHENGHAI; JU CHUNLEI,B65G17/20; B65G43/08; B65G1/1373; B65G1/04; B65G35/00,https://patents.google.com/patent/CN117622793A/en,patent,19
CN-117802631-A,CN-202211166385-A,CN,A,90418606,20240402,2024,Pre-oxidation method of carbon fiber precursor and pre-oxidized carbon fiber prepared by same,"The invention relates to the technical field of polyacrylonitrile-based carbon fiber manufacturing, and discloses a carbon fiber precursor pre-oxidation method and a pre-oxidized carbon fiber prepared by the same. The method comprises the following steps: and carrying out modification pretreatment, drying, cyclization and oxidation on the carbon fiber precursor to obtain the preoxidized carbon fiber. The invention achieves the effect of rapid pre-oxidation by modifying pretreatment and first cyclizing and then oxidizing, the required pre-oxidation time can be shortened to less than 25 minutes, the pre-oxidation time is greatly reduced, the production efficiency is improved, and the pre-oxidation uniformity is improved.",中国石油化工股份有限公司; 中国石化上海石油化工股份有限公司,CHINA PETROLEUM & CHEM CORP; SINOPEC SHANGHAI PETROCHEMICAL CO LTD,WU SONGYI; QIAO MENGMENG; HUANG SHENGDE; YE HAIJUN; LIU LIHUA,D06M11/56; D06M11/50; D01F9/22,https://patents.google.com/patent/CN117802631A/en,patent,19
CN-117964281-A,CN-202410105778-A,CN,A,90845261,20240503,2024,High-strength carbon fiber hub and manufacturing process thereof,"The invention discloses a high-strength carbon fiber hub and a manufacturing process thereof, which relate to the technical field of hub manufacturing, and the high-strength carbon fiber is obtained by stepwise carbonization of polyacrylonitrile fiber; step carbonization comprises the steps of pre-oxidation and carbonization; then, carrying out impregnation treatment on the high-strength carbon fiber, then, carrying out curing molding in a hub die, and finally, polishing to obtain a finished hub; compared with the traditional aluminum alloy hub, the carbon fiber hub prepared by the method has the advantages of being lighter in weight, higher in strength, capable of avoiding the defect of metal fatigue, obvious in noise reduction and the like, and along with the continuous development of new energy automobiles, the application space of the carbon fiber hub is wider than that of the traditional aluminum alloy hub, and the market potential is huge.",浙江跃岭股份有限公司,ZHEJIANG YUELING CO LTD,LIN BIN; WAN KUN; TIAN YONG; WAN SHIWEN; JI SENLIN; SU LIANGZHENG; XU GUOQIANG,B60B27/00; D01F9/225; C04B14/386; C04B26/14,https://patents.google.com/patent/CN117964281A/en,patent,19
CN-117987964-A,CN-202211323269-A,CN,A,90893792,20240507,2024,Preparation method of polyacrylonitrile-based large-tow carbon fiber and obtained carbon fiber,"The invention relates to a preparation method of polyacrylonitrile-based large-tow carbon fibers, which mainly solves the problems of concentrated heat release, easy fiber breakage and poor carbon fiber product performance in the preoxidation process in the prior art. The method comprises the following specific steps: pre-oxidizing polyacrylonitrile fiber in at least four temperature areas to obtain pre-oxidized fiber by controlling the tension of the fiber in each temperature area; and performing low-temperature carbonization treatment in at least three temperature areas and high-temperature carbonization treatment in at least three temperature areas to obtain the polyacrylonitrile-based large-tow carbon fiber. In the continuous preparation process of the fiber, the continuous preparation of the large-tow carbon fiber is realized by controlling the tension of each temperature zone in the pre-oxidation stage and matching with the temperature, the draft ratio and the residence time of low-temperature carbonization and high-temperature carbonization, so that the problems are well solved, and the method can be used in the industrial production of the polyacrylonitrile-based large-tow carbon fiber preparation process.",中国石油化工股份有限公司; 中国石油化工股份有限公司上海石油化工研究院,CHINA PETROLEUM & CHEM CORP; SINOPEC SHANGHAI RES INSTF PETROCHEMICAL TECH,CHEN HUI; SHEN ZHIGANG; CHANG ZHILONG; DONG XUE,D01F9/22,https://patents.google.com/patent/CN117987964A/en,patent,19
CN-118166457-A,CN-202410286532-A,CN,A,91356013,20240611,2024,"Polyacrylonitrile-based carbon fiber, pre-oxidation method and preparation method thereof","The application relates to a preoxidation method of polyacrylonitrile-based carbon fibers and a preparation method of carbon fibers, and belongs to the technical field of carbon fibers. The pre-oxidation method comprises the following steps: pretreating polyacrylonitrile precursor in an inert atmosphere, and then performing pre-oxidation treatment in an oxidation atmosphere; the volume fraction of oxygen in the oxidizing atmosphere is 20% -40%; the pretreatment temperature is 200-300 ℃, and the pretreatment time is 20-60min; the temperature of the pre-oxidation treatment is 180-250 ℃, and the time of the pre-oxidation treatment is 30-120min. The preoxidation method can improve the cyclization degree of the fiber, and enable the oxygen heterocyclic structure to be formed, so that the thermal stability of the fiber is improved.",中复神鹰碳纤维股份有限公司,ZHONGFU SHENYING CARBON FIBER CO LTD,LIU DONG; CHEN CHEN; FAN BAOLIN; ZHANG JINYUAN,D01F9/22,https://patents.google.com/patent/CN118166457A/en,patent,19
CN-118326570-A,CN-202410617042-A,CN,A,91774837,20240712,2024,Preparation method of high-performance carbon fiber,"The invention provides a preparation method of high-performance carbon fibers, and relates to the field of carbon fiber preparation. The preparation method comprises the following steps: firstly preparing polyacrylonitrile spinning solution, after spinning the spinning solution, sequentially carrying out alternating low-temperature water washing on nascent fibers formed through coagulating bath through a cold tank with the temperature of 40-55 ℃ and a hot tank with the temperature of 45-60 ℃, carrying out high-temperature water washing on the cold tank with the temperature difference of 2-10 ℃ and the temperature of 60-85 ℃ and the total traction multiple of water washing being 0.9-1.9 times, and sequentially carrying out blow drying, oiling, high-temperature drying and steam drafting to finally obtain polyacrylonitrile precursors, wherein the carbon fibers are obtained after carbonization of the precursors. The water washing process is carried out by adopting a mode of cold-hot alternating low-temperature water washing and then high-temperature water washing, and the grain orientation and grain growth inside the fiber are obviously affected by precisely controlling the water washing temperature and the drawing multiple, so that a precursor with high grain orientation degree and compact structure is obtained, and finally the T800-level high-performance carbon fiber with excellent mechanical property and mechanical property is obtained.",长盛(廊坊)科技有限公司,CHANGSHENG LANGFANG TECH CO LTD,ZHENG JIANCHAO; FANG JING; PU YONGWEI; SUN JINFENG; CHANG PING; ZHANG LIMING; ZHOU YUANMING; PAN TIELIN; LI PENGHUI; WANG XUE; LI TING; DONG BIN; ZHANG YINGYUE,D01D10/06; D01D10/00; D01D10/02; D01D5/06; D01F6/18; D01F9/22,https://patents.google.com/patent/CN118326570A/en,patent,19
CN-118326570-B,CN-202410617042-A,CN,B,91774837,20241126,2024,Preparation method of high-performance carbon fiber,"The invention provides a preparation method of high-performance carbon fibers, and relates to the field of carbon fiber preparation. The preparation method comprises the following steps: firstly preparing polyacrylonitrile spinning solution, after spinning the spinning solution, sequentially carrying out alternating low-temperature water washing on nascent fibers formed through coagulating bath through a cold tank with the temperature of 40-55 ℃ and a hot tank with the temperature of 45-60 ℃, carrying out high-temperature water washing on the cold tank with the temperature difference of 2-10 ℃ and the temperature of 60-85 ℃ and the total traction multiple of water washing being 0.9-1.9 times, and sequentially carrying out blow drying, oiling, high-temperature drying and steam drafting to finally obtain polyacrylonitrile precursors, wherein the carbon fibers are obtained after carbonization of the precursors. The water washing process is carried out by adopting a mode of cold-hot alternating low-temperature water washing and then high-temperature water washing, and the grain orientation and grain growth inside the fiber are obviously affected by precisely controlling the water washing temperature and the drawing multiple, so that a precursor with high grain orientation degree and compact structure is obtained, and finally the T800-level high-performance carbon fiber with excellent mechanical property and mechanical property is obtained.",长盛(廊坊)科技有限公司,,,D01D10/06; D01D10/00; D01D10/02; D01D5/06; D01F6/18; D01F9/22,https://patents.google.com/patent/CN118326570B/en,patent,19
CN-118326739-A,CN-202410306560-A,CN,A,91773536,20240712,2024,"Flexible carbon paper-based lithium ion battery negative electrode material, and preparation method and application thereof","The invention discloses a preparation method of a flexible carbon paper-based lithium ion battery anode material, and belongs to the technical field of preparation of self-supporting electrodes and energy storage devices. Fibrillating polyacrylonitrile fibers (PAN) by a pulping and papermaking equipment PFI pulping machine, screening the fibrillated fibers by a pall screening instrument, and mixing the screened nanofibers with Carbon Fibers (CFs) to form paper; the flexible carbon paper electrode (FCP) is obtained after pre-oxidation and carbonization, the material shows good flexibility, mechanical strength and electrochemical performance when being used for the negative electrode of the flexible lithium ion battery, and is suitable for being applied to flexible electronic devices, and the material preparation has the advantages of simplicity, greenness, high efficiency and low consumption, provides guidance for the production of the flexible electrode, and improves the feasibility of the carbon paper-based material in the industrial application of the flexible battery.",华南理工大学,UNIV SOUTH CHINA TECH,LIU MENGRU; CHEN DONG; LI HAILONG,D21H25/04; D21H27/00; D21D5/02; D21F11/00; D21H13/50; D21H13/10; H01M10/0525; H01M4/583,https://patents.google.com/patent/CN118326739A/en,patent,19
CN-118547400-A,CN-202410648232-A,CN,A,92452953,20240827,2024,Low-heat-conductivity polyacrylonitrile-based carbon fiber and preparation method and application thereof,"The invention belongs to the technical field of ablative heat insulation composite material preparation, and particularly relates to a low-heat-conductivity polyacrylonitrile-based carbon fiber, and a preparation method and application thereof. The preparation method specifically comprises the following steps: sequentially carrying out spinning, solidification forming, washing, oiling and hot roller drying treatment on the polyacrylonitrile spinning solution to obtain polyacrylonitrile fibers rich in pore structures; and (3) sequentially performing preoxidation and carbonization treatment on the polyacrylonitrile fiber rich in the pore structure to obtain the polyacrylonitrile-based carbon fiber with low heat conductivity. The method has the following advantages: 1) The preparation process is simple and convenient, the cost is low, and the industrial production is convenient. 2) The low-heat-conductivity polyacrylonitrile-based carbon fiber obtained by the method has higher retention rate of mechanical properties, has heat conductivity reduced by about 46% compared with commercial carbon fiber, and can be applied to the field of ablation and heat insulation integrated composite materials.",中国科学院山西煤炭化学研究所,SHANXI INST COAL CHEMISTRY CAS,YANG YU; CAO LIJUAN; LYU XIAOXUAN; ZHI JIEYING,D01F9/22,https://patents.google.com/patent/CN118547400A/en,patent,19
CN-118659005-A,CN-202410576372-A,CN,A,92706167,20240917,2024,High-conductivity C/C composite bipolar plate and preparation method and application thereof,"The invention relates to a high-conductivity C/C composite bipolar plate, and a preparation method and application thereof, comprising the following steps: s1, preparing a carbon fiber preform from a polyacrylonitrile-based carbon fiber net tire and asphalt carbon fiber cloth through a needling process; s2, taking alkane gas as a raw material, and carrying out pyrolytic carbon matrix preparation on the carbon fiber preform by a chemical vapor infiltration process to form a low-density C/C composite material plate; s3, performing asphalt impregnation carbonization densification treatment on the low-density C/C composite material plate to obtain a high-density C/C composite material plate; s4, performing high-temperature graphitization treatment on the high-density C/C composite material plate to obtain a graphitized C/C composite material plate; s5, preparing a surface high-conductivity coating on the graphitized C/C composite material plate through a chemical vapor deposition process, and cutting to obtain the C/C composite material bipolar plate, wherein the preparation is completed. Compared with the prior art, the invention has the advantages of improving the conductivity and the density of the C/C composite bipolar plate and the like.",核工业第八研究所,EIGHTH RESEARCH INSTITUTE OF NUCLEAR TECH,WANG MENGQIAN; DONG KAI,H01M8/10; H01M8/0228; H01M8/0213,https://patents.google.com/patent/CN118659005A/en,patent,19
CN-118773947-A,CN-202411229755-A,CN,A,92981045,20241015,2024,Fuel cell gas diffusion layer carbon paper and preparation method thereof,"The invention discloses a fuel cell gas diffusion layer carbon paper and a preparation method thereof, and relates to the field of fuel cells. When the carbon paper of the fuel cell gas diffusion layer is prepared, the chopped polyacrylonitrile carbon fiber is mixed with phenolic resin after paper making, and the carbon paper base layer is obtained through solidification, carbonization and graphitization; sealing the carbon paper base layer with calcium carbonate to obtain a pre-modified carbon paper base layer; reacting carbon black with N- (3-trimethoxysilylpropyl) pyrrole to obtain modified carbon black; carrying out irradiation activation on polytetrafluoroethylene, and reacting with 3-butene triethoxysilane to obtain modified polytetrafluoroethylene and prepare modified polytetrafluoroethylene emulsion; uniformly mixing modified carbon black, modified polytetrafluoroethylene emulsion and calcium carbonate, and then spraying the mixture on a pre-modified carbon paper base layer to obtain a modified carbon paper base layer; and then the modified carbon paper base layer and pyrrole react to prepare the carbon paper of the fuel cell gas diffusion layer. The fuel cell gas diffusion layer carbon paper prepared by the invention has excellent gas diffusivity, thermal stability, electrical conductivity and mechanical property.",江苏碳丰氢能源科技有限公司,JIANGSU TANFENG HYDROGEN ENERGY TECH CO LTD,CHU WEIFENG; Chu Shen,H01M4/8807; H01M4/96; D21H17/675; D21H17/53; D21H17/48; D21H27/00; D21H15/02; D21H19/56; D21H19/385; D21H19/38,https://patents.google.com/patent/CN118773947A/en,patent,19
CN-118773947-B,CN-202411229755-A,CN,B,92981045,20241105,2024,Fuel cell gas diffusion layer carbon paper and preparation method thereof,"The invention discloses a fuel cell gas diffusion layer carbon paper and a preparation method thereof, and relates to the field of fuel cells. When the carbon paper of the fuel cell gas diffusion layer is prepared, the chopped polyacrylonitrile carbon fiber is mixed with phenolic resin after paper making, and the carbon paper base layer is obtained through solidification, carbonization and graphitization; sealing the carbon paper base layer with calcium carbonate to obtain a pre-modified carbon paper base layer; reacting carbon black with N- (3-trimethoxysilylpropyl) pyrrole to obtain modified carbon black; carrying out irradiation activation on polytetrafluoroethylene, and reacting with 3-butene triethoxysilane to obtain modified polytetrafluoroethylene and prepare modified polytetrafluoroethylene emulsion; uniformly mixing modified carbon black, modified polytetrafluoroethylene emulsion and calcium carbonate, and then spraying the mixture on a pre-modified carbon paper base layer to obtain a modified carbon paper base layer; and then the modified carbon paper base layer and pyrrole react to prepare the carbon paper of the fuel cell gas diffusion layer. The fuel cell gas diffusion layer carbon paper prepared by the invention has excellent gas diffusivity, thermal stability, electrical conductivity and mechanical property.",江苏碳丰氢能源科技有限公司,,,H01M4/8807; H01M4/96; D21H17/675; D21H17/53; D21H17/48; D21H27/00; D21H15/02; D21H19/56; D21H19/385; D21H19/38,https://patents.google.com/patent/CN118773947B/en,patent,19
CN-118835388-A,CN-202410758065-A,CN,A,93141348,20241025,2024,High-performance PI fiber/PAN-based carbon fiber battery felt and preparation method thereof,"The invention relates to the technical field of carbon fiber felt preparation, and discloses a high-performance PI fiber/PAN-based carbon fiber battery felt and a preparation method thereof, wherein Polyimide (PI) fibers and Polyacrylonitrile (PAN) -based pre-oxidized fibers are used as raw materials, short fibers obtained by mixing polyimide and polyacrylonitrile are subjected to opening, carding and spreading into fiber webs, and then reinforcing the fiber net into cloth through a needle, wherein the needle is provided with a hook needle, repeatedly penetrating the fiber net, reinforcing the hook belt fiber to form a needle-punched carbon fiber felt, and preparing the carbon fiber felt into a battery felt through carbonization, graphitization and steam activation, and using the battery felt as an electrode of the all-vanadium redox flow battery. The addition of polyimide fiber can increase the graphite carbon content of polyacrylonitrile-based carbon fiber, increase the graphitization degree, and the material with higher graphitization degree has better conductivity and chemical stability, and reduces the performance attenuation of the electrode material in the charge-discharge cycle process.",武汉科技大学,UNIV WUHAN SCIENCE & TECH,GAO FANG; WEN JIE; QIN YUDAN; YAN SHUAI; LIANG ZI; MEI YU; WANG QIYUAN,D04H1/43; D04H1/4326; D04H1/48; H01M8/188; H01M4/96; H01M4/88,https://patents.google.com/patent/CN118835388A/en,patent,19
CN-118851273-A,CN-202410893381-A,CN,A,93176224,20241029,2024,Lignin-based carbon fiber spinel catalyst and preparation method and application thereof,"The invention relates to a lignin-based carbon fiber spinel catalyst material, and a preparation method and application thereof. The invention is characterized in that lignin, polyacrylonitrile, ferric acetylacetonate and copper acetylacetonate are dissolved in N, N-dimethylformamide, and the spinning solution is filled into a syringe with a stainless steel needle for electrostatic spinning. The resulting lignin-based spinel fiber precursor was thermally stable in a muffle furnace. And carbonizing the heat-stable fiber in nitrogen atmosphere to obtain the lignin-based carbon fiber spinel catalyst material. The electrocatalytic oxidation of the pentahydroxymethyl furfural prepared from the lignin-based carbon fiber spinel catalyst material prepared by the preparation method provided by the invention shows excellent catalytic activity.",广东工业大学,UNIV GUANGDONG TECHNOLOGY,QIN YANLIN; QI YI; WU HAOHAN; QIU XUEQING; LIN XULIANG; CHEN CHUYAO,C25B3/05; C25B3/07; C25B3/23; C25B11/065; C25B11/077; D01F9/17; C01G49/00; D01D5/0092; D01D5/003,https://patents.google.com/patent/CN118851273A/en,patent,19
CN-118880496-A,CN-202410943004-A,CN,A,93220496,20241101,2024,Polyacrylonitrile carbon fiber and preparation method thereof,"The invention provides polyacrylonitrile carbon fiber and a preparation method thereof, which relate to the technical field of carbon fiber and comprise the following steps: pre-oxidizing polyacrylonitrile fibers in at least six pre-oxidizing temperature areas to obtain pre-oxidized fiber bodies; after the pre-oxidation treatment of each pre-oxidation temperature zone, the volume density, the oxygen content and the cyclization degree of the corresponding fiber body meet the set conditions; carbonizing the pre-oxidized fiber body at a low temperature to obtain a low-temperature carbonized fiber body; high-temperature carbonization is carried out on the low-temperature carbonized fiber body to obtain a high-temperature carbonized fiber body; and carrying out surface treatment on the high-temperature carbonized fiber body to obtain the polyacrylonitrile carbon fiber. The invention sets the pre-oxidation treatment of a plurality of pre-oxidation temperature areas, controls the fiber body structure of each pre-oxidation temperature area by adjusting the drawing multiplying power and the pre-oxidation temperature applied to the fiber in each pre-oxidation temperature area, prepares the pre-oxidation fiber body with full cyclization and compact structure, and provides a structural basis for the subsequent preparation of high-strength carbon fiber.",中国科学院山西煤炭化学研究所,SHANXI INST COAL CHEMISTRY CAS,ZHANG SHOUCHUN; WANG FEI,D06M10/06; D01F9/22,https://patents.google.com/patent/CN118880496A/en,patent,19
CN-118910769-A,CN-202411149724-A,CN,A,93301355,20241108,2024,"Polyacrylonitrile pre-oxidized fiber and preparation method thereof, and polyacrylonitrile carbon fiber","The application relates to a polyacrylonitrile pre-oxidized fiber and a preparation method thereof, and a polyacrylonitrile carbon fiber, belonging to the technical field of carbon fiber manufacturing. The preparation method comprises the following steps: carrying out copolymerization reaction on acrylonitrile and a modifier to obtain a polyacrylonitrile polymer solution; wherein the modifier is vinyl phenol compound; spinning the polyacrylonitrile polymer solution to obtain polyacrylonitrile precursor; and (3) pre-oxidizing the polyacrylonitrile precursor to obtain the polyacrylonitrile pre-oxidized precursor. By introducing vinyl phenol compounds and acrylonitrile for copolymerization modification, the preoxidation cyclization reaction of the polyacrylonitrile precursor fiber can be promoted, the initial exothermic temperature of the polyacrylonitrile precursor fiber can be reduced, the skin-core phenomenon of the polyacrylonitrile preoxidized fiber can be improved, and the strength of the carbon fiber can be further improved.",中复神鹰碳纤维股份有限公司,ZHONGFU SHENYING CARBON FIBER CO LTD,XIA WENLONG; ZHANG HUAN; SHI TIANSHU; MENG QIANG,C08F220/44; D01F9/22,https://patents.google.com/patent/CN118910769A/en,patent,19
CN-118996652-A,CN-202310555546-A,CN,A,93488688,20241122,2024,High-performance polyacrylonitrile carbon fiber precursor and preparation method and application thereof,"The invention relates to a high-performance polyacrylonitrile carbon fiber precursor and a preparation method thereof, which mainly solve the problems of high ash content and poor mechanical properties of carbon fiber in the carbonization process in the prior art. The invention adopts wet spinning, comprising the step of drying densification, wherein the temperature of the last drying temperature zone is not higher than 100 ℃ and the temperature between at least two adjacent temperature zones is gradient cooling in the drying densification process of the oiled fiber. By adopting the technical scheme of the invention, the technical problems are better solved, and the method can be used for industrial production of polyacrylonitrile carbon fiber precursors.",中国石油化工股份有限公司; 中石化（上海）石油化工研究院有限公司,CHINA PETROLEUM & CHEM CORP; SINOPEC SHANGHAI PETROCHEMICAL RES INSTITUTE CO LTD,WANG JIANNING; SHEN ZHIGANG; LI LEI; DENG MINGYU,D01F9/22; D01D5/14; D01D10/02; D01D5/06; D01F6/38; D01F6/18,https://patents.google.com/patent/CN118996652A/en,patent,19
CN-119061427-A,CN-202411278886-A,CN,A,93646579,20241203,2024,Preparation method of nitrogen-doped carbon fiber-loaded Ni-MoC nano particles for full pH range electrocatalytic hydrogen evolution,"The invention discloses a preparation method of nitrogen-doped carbon fiber loaded Ni-MoC nano particles for electrocatalytic hydrogen evolution in a full pH range, and belongs to the technical field of water electrolysis hydrogen production. The method comprises the following steps of taking the prepared Ni-ZIF as a Ni source and taking the molybdenum acetylacetonate oxide as a Mo source. Ni-ZIF, molybdenum acetylacetonate and polyacrylonitrile are dissolved in N, N-dimethylformamide to prepare spinning solution. And obtaining a spinning film by adopting an electrostatic spinning method, and obtaining the nitrogen-doped carbon fiber loaded Ni-MoC nanoparticle hybrid material by adopting a pre-oxidation and high-temperature carbonization method. The preparation method has the advantages of easily available raw materials, low cost, simple process and the like. In addition, the hybrid material prepared by the method has a hierarchical porous structure, which is beneficial to improving the mass transfer rate in the catalysis process, and the electron-rich property of Ni and the synergistic effect with MoC are beneficial to the adsorption and desorption of the hydrogen intermediate on the surface of the catalyst, so that the material has high-efficiency electrocatalytic hydrogen evolution performance in the full pH range.",新疆大学,UNIV XINJIANG,JIA WEI; CAO XUEYING; ZHANG SHAN,B82Y30/00; B82Y40/00; C25B1/04; C25B11/065; C25B11/091,https://patents.google.com/patent/CN119061427A/en,patent,19
CN-119121461-A,CN-202411392415-A,CN,A,93747977,20241213,2024,"Polyacrylonitrile-based pre-oxidized fiber, preparation method thereof and carbon fiber","The invention provides a polyacrylonitrile-based pre-oxidized fiber, a preparation method thereof and a carbon fiber, and relates to the technical field of carbon fibers, wherein the preparation method comprises the following steps of firstly carrying out dipping pretreatment on a polyacrylonitrile precursor in an oxidation resistant solution, and then carrying out gradient pre-oxidation treatment to obtain the polyacrylonitrile-based pre-oxidized fiber; the temperature difference between adjacent pre-oxidation temperature ranges of the gradient pre-oxidation treatment is 20 ℃ to 50 ℃. The invention solves the technical problems of the prior art of oxygen-containing structure regulation and control and radial structure non-uniformity of the pre-oxidized fiber, and achieves the technical effects of adjustable oxygen content, low oxygen content and good radial uniformity.",中复神鹰碳纤维股份有限公司,ZHONGFU SHENYING CARBON FIBER CO LTD,CHEN CHEN; FAN BAOLIN; LIU DONG,D06M13/228; D01F9/22,https://patents.google.com/patent/CN119121461A/en,patent,19
CN-119191862-A,CN-202410978944-A,CN,A,94041024,20241227,2024,"High-conductivity graphite composite material, preparation method and application","The application relates to a high-conductivity graphite composite material, a preparation method and application thereof, which comprises worm graphite powder, graphene powder and polyacrylonitrile-based carbon fiber powder, wherein the worm graphite powder, the graphene powder and the polyacrylonitrile-based carbon fiber powder are fully mixed according to the proportion of A to B to C, carbonization and graphitization treatment are carried out on the obtained graphite composite material in a nitrogen atmosphere to obtain the high-conductivity graphite composite material, the granularity of the worm graphite powder is 40-100 meshes, D  50 ≤180μm,I D /I G  of the graphene powder is less than or equal to 30 mu m and less than 0.3, the graphene powder has a fold-shaped morphology in a microscopic state, D  50  of the polyacrylonitrile-based carbon fiber powder is less than or equal to 50 mu m and less than or equal to 200 mu m, A of the polyacrylonitrile-based carbon fiber powder is less than or equal to 15 to or equal to 19,1 of B of the graphite composite material is less than or equal to 4,0.1 of the graphite composite material, and C of the graphite composite material is less than or equal to 3. The application has the advantages of good conductivity and mechanical property.",江苏米格新材料股份有限公司,JIANGSU MIGE NEW MAT CO LTD,LI KAI; MA XURUI; CHEN XINHUA,C04B35/622; C04B35/522; C04B35/83,https://patents.google.com/patent/CN119191862A/en,patent,19
